"","Response_01","Response_02","Response_03","Response_04","Response_05","Response_06","Response_07","Response_08","Response_09","Response_10","Response_11","Response_12","Response_13","Response_14","Response_15","Response_16","Response_17","Response_18","Response_19","Response_20","Response_21","Response_22","Response_23","Response_24","Response_25","Response_26","Response_27","Response_28","Response_29","Response_30","Response_31","Response_32","Response_33","Response_34","Response_35","Response_36","Response_37","Response_38","Response_39","Response_40","Response_41","Response_42","Response_43","Response_44","Response_45","Response_46","Response_47","Response_48","Response_49","Response_50","Response_51","Response_52","Response_53","Response_54","Response_55","Response_56","Response_57","Response_58","Response_59","Response_60","Response_61","Response_62","Response_63","Response_64","Response_65","Response_66","Response_67","Response_68","Response_69","Response_70","Response_71"
"473","cat","bird","flamingo","monkey","tiger","zebra","shark","ant","fly","bear","pig","rat","ram","wildebeest","horse","penguin","dinosaur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474","horse","dog","cat","fish","bear","cheetah","lion","tiger","panda","koala","bird","pigeon","shark","dolphin","shrimp","cow","pig","snake","monkey","crocodile","squid","gorilla","donkey","whale","crab",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","dog","bear","lion","cheetah","kangaroo","elephant","monkey","orangutan","gorilla","polar bear","penguin","turtle","lizard","snake","koala","jaguar","iguana","skunk","guinea pig","cow","chicken","rooster","turkey","bull","horse","sheep","goat","kiwi bird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"476","human","dog","cat","bear","lion","monkey","tiger","cougar","shark","tuna","salmon","catfish","kangaroo","penguin","emu","ostrich","tyrannosaurus rex","alligator","crocodile","crow","hawk","eagle","seagull","wolf","fox","fly","cricket","pigeon","cow","pig","sheep","goat","rooster","duck","swan","goose","horse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","dog","cat","bird","tiger","lion","elephant","bee","horse","bulldog","deer","hog","pig","antelope","cheetah","zebra","water buffalo","buffalo","monkey","chimpanzee","ape","spider","gazelle","wolf","whale","fish","shark","raven","bengal tiger","ram",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478","cheetah","cat","frog","mouse","giraffe","shark","dolphin","fish","whale","rhinoceros","tiger","jaguar","lion","panther","bobcat","pig","cow","bird","hawk","eagle","hummingbird","elephant","snake","rooster","fox","rabbit","lizard","goat","horse","bull","rat","quail","liger",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479","dog","cat","bird","turtle","lion","rat","fish","panda","kangaroo","hamster","bunny","deer","swan","seahorse","seal","penguin","tiger","leopard","whale","salmon","snake","goat","sheep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480","dog","cat","fish","bird","shark","tiger","cow","horse","lion","llama","pig","buffalo","coyote","fox","dolphin","sting ray","octopus","squirrel","parrot","alligator","armadillo","lizard","whale","rooster","chicken","turtle","sea turtle","snake","deer","elk","elephant","giraffe","seal","penguin","panda","bear","polar bear",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","dog","cat","lion","tiger","elk","moose","fox","wolf","boar","pig","cow","horse","mouse","rat","leopard","zebra","gorilla","ape","chimpanzee","elephant","human","bird","bear","polar bear","grizzly bear","cub","rabbit","bunny",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","dog","cat","horse","zebra","leopard","tiger","chicken","hen","pig","duck","bird","eagle","donkey","mountain lion","coyote","polar bear","seal","shark","kangaroo","hippopotamus","rhinoceros","moose","deer","antelope","skunk","raccoon","rabbit","sheep","lamb","boston terrier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483","cat","dog","frog","bird","lion","monkey","giraffe","rhinoceros","cow","tiger","bear","owl","hawk","eagle","snake","rabbit","squirrel","fish","llama","fox","hippopotamus","weasel","donkey","horse","elephant","panda","crane","flamingo","koala","shark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"484","cow","dog","cat","human","bear","duck","deer","lion","tiger","giraffe","wolf","sheep","pig","chicken","rat","mouse","mountain lion","manatee","elephant","donkey","hippopotamus","rhinoceros","monkey","ape","hyena","antelope","squirrel","kangaroo","wolverine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","giraffe","dog","cat","pet","elephant","fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","cat","dog","bird","reptile","frog","bear","lion","rhinoceros","cheetah","mountain lion","anteater","giraffe","spider","parrot","wolf","coyote","fox","turtle","monkey","gorilla","shark","sting ray","clownfish","iguana","duck","rabbit","chimpanzee","hare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487","bird","eagle","snake","scorpion","giraffe","elephant","gorilla","chimpanzee","jaguar","cheetah","leopard","penguin","baboon","hawk","brown bear","black bear","grizzly bear","cat","beagle","wolf","buffalo","crane","pelican","flamingo","kangaroo","koala","tiger","lion","mountain lion","meerkat","hog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"488","cat","dog","tiger","lion","white tiger","liger","zebra","giraffe","hippopotamus","rhinoceros","white rhinoceros","bird","finch","persian cat","german shepherd","golden retriever","lab","shihtzu","sloth","panda","bear","polar bear","monkey","chimpanzee","orangutan","gorilla","coyote","rabbit","jackrabbit","pigeon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"490","ape","monkey","bird","fish","alligator","crab","shark","goldfish","cheetah","lion","tiger","sloth","elephant","crow","penguin","salmon","pig","cow","chicken","sheep","wolf","fox","snake","lobster","dolphin","roadrunner","dove","swan","horse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491","dog","bat","tiger","llama","frog","elephant","giraffe","iguana","dolphin","horse","fish","white tiger","lion","puma","jaguar","bird","hawk","hummingbird","robin","polar bear","black bear","brown bear","penguin","seal","whale","shark","tiger shark","pufferfish","octopus","pig","chicken","rooster","cheetah","lizard","mouse","guinea pig","hamster","porcupine","zebra","alpaca","sheep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"492","dog","cat","dragon","mammal","squid","jellyfish","rabbit","squirrel","bird","owl","falcon","raven","crow","horse","cow","giraffe","elephant","lizard","snake","crocodile","tortoise","parrot","finch","lion","leopard","seal","orca","whale","blue whale","bronco","reptile","monkey","ape","mole","platypus","kangaroo","marsupial","ostrich","kiwi bird","tiger","bear","polar bear","grizzly bear","black bear","wolf","grayhound","pug","rat","mouse","rodent","flamingo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"493","cat","dog","bunny","snake","rabbit","fish","mouse","kitten","puppy","goat","bull","tiger","lion","monkey","lizard","worm","insect","ant","bird","spider","ape","rat","horse","donkey","deer","hamster","squirrel","raccoon","zebra","golden retriever",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"494","bunny","sheep","skink","sow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"495","dog","cat","bird","horse","cow","chicken","rat","snake","elephant","tiger","lion","rabbit","deer","iguana","lamb","pig","walrus","seal","polar bear","bear","guinea pig","otter","whale","monkey","gorilla","chimpanzee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"496","cat","dog","fish","horse","pig","goat","snail","leopard","zebra","bunny","cow","chicken","worm","bird","whale","shark","squid","bobcat","lion","alligator","crocodile","bat","fly","insect","spider","turtle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"497","akita","cat","mouse","horse","rabbit","hamster","guinea pig","golden retriever","seagull","cow","pig","goat","turtle","llama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498","dog","cat","lion","tiger","bear","fish","bird","crane","salmon","bengal tiger","frog","horse","donkey","sheep","pig","cow","goat","hawk","crow","gazelle","bronco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"499","cat","dog","bear","donkey","mule","horse","turtle","turkey","pig","cow","parrot","bird","lion","tiger","jaguar","peacock","giraffe","elephant","buffalo","deer","antelope","elk","reindeer","kiwi bird","rabbit","kangaroo","fish","betta fish","starfish","sea urchin","dolphin","shark","whale","orca","rhinoceros","finch","muskrat","yak","penguin","frog","zebra","bluejay","robin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500","ant","fish","sparrow","panda","dog","cat","sloth","liger","lion","panther","bird","zebra","rhinoceros","eagle","pig","hog","lamb","sheep","hippopotamus","whale","dolphin","shark","horse","octopus","plankton","starfish","squirrel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"501","dog","giraffe","horse","pigeon","bird","lion","spider","black widow","scorpion","fish","goldfish","betta fish","jaguar","tiger","squid","octopus","bobcat","penguin","turtle","sea turtle","seal","starfish","whale","dolphin","frog","ape","chimpanzee","parakeet","toucan","crocodile","fly","salamander","lizard","snake","gila monster","grizzly bear","salmon","trout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"502","dog","cat","elephant","kangaroo","turtle","bird","lion","camel","fish","crab","shrimp","lobster","bass","krill","dolphin","whale","shark","eel","pufferfish","giraffe","tiger","bear","coyote","wolf","snake","scorpion","spider","ant","worm","butterfly","cockroach","gopher","rabbit","bunny","goat","duck","sheep","frog","cheetah","elk","deer","sting ray","hawk","falcon","beaver","tortoise",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"503","monkey","giraffe","dog","cat","cow","moose","orangutan","chimpanzee","gorilla","snake","lion","gazelle","otter","seal","shark","whale","bird","flounder","goldfish","crocodile","alligator","eagle","ox","capuchin","rhinoceros","lemur","goat","frog","deer","doe","goose","bunny","zebra","human","ocelot","lamb","sheep","eel","emu","ostrich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"504","aardvark","bird","parakeet","songbird","parrot","crow","ostrich","dragon","giraffe","lion","elephant","unicorn","rhinoceros","ape","monkey","worm","jellyfish","whale","sperm whale","beetle","human","cat","zebra","panther","squirrel","turkey","pig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"505","bear","pig","llama","horse","frog","cat","dog","hamster","human","badger","gazelle","lion","black bear","lynx","ocelot","goat","golden retriever","spider monkey","orangutan","cougar","giraffe","leopard","beaver","groundhog","otter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"506","monkey","ape","baboon","chimpanzee","rabbit","frog","turtle","tortoise","fish","iguana","lizard","tiger","lion","cheetah","panther","scorpion","spider","dog","cat","hamster","rat","mouse","emu","squirrel","gorilla","bird","bat","crow","whale","seal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"507","zebra","dog","cat","fish","bear","bird","lizard","alligator","lion","cheetah","horse","bunny","turtle","shark","snake","bee","beetle","giraffe","hippopotamus","anteater","rhinoceros","elephant","deer","elk","polar bear","penguin","puma","tiger","monkey","baboon","whale","manatee","lemur","eagle","ant","border collie","kangaroo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"508","shark","dog","cat","giraffe","elephant","hippopotamus","zebra","horse","turtle","tortoise","lizard","snake","cobra","ostrich","emu","kiwi bird","chicken","pig","cow","goat","fish","polar bear","bear","grizzly bear","panda","lion","cheetah","tiger","leopard","jaguar","snow leopard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"509","cat","dog","yak","ram","cow","sheep","fawn","duck","chicken","ant","bird","termite","bee","honey bee","hen","rooster","tiger","lion","zebra","meerkat","gerbil","rat","worm","human","wasp","spider","daddy long legs","skunk","fox","deer","doe","poodle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"510","bird","cat","bat","bear","shark","giraffe","elephant","tiger","dog","mouse","lion","zebra","crocodile","alligator","flamingo","leopard","panther","worm","insect","monkey","baboon","gorilla","ape","deer","rabbit","hummingbird","cow","ox","bull","stag","elk","buffalo","chicken","pig","rat","frog","snake","owl","hawk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"511","axolotl","iguana","fish","dinosaur","lion","tiger","zebra","giraffe","dog","cat","mouse","rat","gorilla","monkey","golden retriever","chameleon","lizard","bird","pigeon","dove","turtle","horse","stallion","crow","rooster","chicken","hog","pig","mammoth","elephant","seal","shark","whale shark","whale","clam","crab","octopus","squid","squirrel","chipmunk","flying squirrel","hawk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512","dog","cat","bird","rat","lizard","insect","spider","wolf","tiger","lion","bear","cougar","puma","hawk","parrot","frog","turtle","fish","whale","shark","tortoise","jellyfish","squid","octopus","starfish","zebra","horse","camel","donkey","elephant","monkey","ape","gorilla","chimpanzee","snake","mouse","gerbil","hamster","ferret","weasel","fox","rabbit","hare","axolotl","fly","mosquito","cockroach","ladybug","anaconda","rattlesnake","python",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"513","fish","trout","shark","rainbow trout","bird","pelican","parakeet","dog","cat","bloodhound","tiger","bear","cheetah","leopard","spider","slug","kitten","puppy","kangaroo","rabbit","donkey","scorpion","eagle","lion","horse","goat","sheep","rat","mouse","lizard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514","dog","cat","penguin","cow","sloth","snail","turtle","fish","shark","ostrich","flamingo","zebra","cheetah","leopard","lion","guinea pig","rabbit","wolf","seal","whale","gorilla","snake","hawk","hummingbird","dove","sheep","deer","moose","shrimp","bear","bee","mosquito","pig",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"515","lion","tiger","dog","cat","zebra","giraffe","hippopotamus","snake","camel","flamingo","monkey","horse","seal","shark","whale","donkey","turkey","bunny","penguin","quail","anteater","octopus","alligator","goat","jackrabbit","leopard","bobcat","mountain lion","bear","deer","elk","gorilla","gazelle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"516","ape","monkey","dolphin","pig","bird","parrot","lion","tiger","bear","seal","penguin","zebra","elephant","porpoise","meerkat","polar bear","cow","rabbit","buffalo","deer","moose","fox","puma","jaguar","shark","turtle","tortoise","dog","cat","crocodile","alligator","pelican","pigeon","dachshund","beagle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517","dog","cat","fish","snake","hamster","tiger","penguin","horse","giraffe","lion","rhinoceros","jaguar","seal","rabbit","sloth","monkey","elephant","bear","mouse","rat","bearded dragon","snail","bat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"518","dog","cat","bird","monkey","elephant","giraffe","gorilla","tiger","lion","bear","flamingo","swan","pelican","panda","polar bear","coyote","yellow lab","bulldog","dolphin","whale","fish","eagle","kangaroo","cheetah","mountain lion","goat","horse","pig","sheep",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519","dog","cat","fish","bird","tuna","carp","red snapper","cod","crab","brown trout","blue gill","lion","tiger","brown bear","grizzly bear","polar bear","lizard","snake","sparrow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"520","tiger","giraffe","cheetah","flamingo","dog","cat","rhinoceros","zebra","snake","iguana","lizard","rabbit","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521","dog","cat","horse","bird","monkey","hippopotamus","lion","cheetah","lizard","snake","fish","turtle","ant","spider","butterfly","ladybug","shark","jellyfish","whale","hamster","cow","rabbit","pig","duck","starfish","clownfish","owl","scorpion","eagle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522","dog","fish","cat","reptile","horse","goat","tiger","elephant","crocodile","hawk","whale","goldfish","toad","golden retriever","cow","lamb","bull","chicken","fox","rabbit","moose","polar bear","black bear","panda","cheetah","monkey","shark","hedgehog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523","dog","cat","bird","elephant","horse","sheep","chicken","cow","lion","rhinoceros","giraffe","cheetah","snake","squirrel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524","cat","dog","horse","chicken","antelope","jaguar","coyote","lizard","mouse","rat","bird","monkey","ape","bear","brown bear","black bear","honey bee","ocelot","lion","fox","goat","bunny","snake","sting ray","whale","penguin","cow","pig","sheep","iguana","bearded dragon","hamster","chipmunk","mammoth","sloth","elephant","pelican","clownfish",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"525","cat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"526","turtle","dog","cat","lizard","giraffe","panda","crocodile","lion","lemur","monkey","gorilla","rat","raccoon","bear","reptile","elephant","seal","fish","shark",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"527","dog","cat","rat","mouse","fish","pig","cow","bull","deer","rabbit","wallaby","koala","panda","black bear","grizzly bear","betta fish","goldfish","monkey","ferret","snake","lizard","bird","parrot","pigeon","crow","seal","shark","dolphin","octopus","starfish","whale","clownfish","sting ray","crocodile","rhinoceros","hippopotamus","giraffe","elephant","zebra","lemur","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"528","bat","dog","cat","rat","lion","tiger","bird","pig","goat","horse","chicken","cow","wolf","fox","raccoon","mountain lion","bobcat","jaguar","cheetah","jackrabbit","bunny","human","monkey","gorilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"529","dog","cat","fish","snake","alligator","crocodile","lion","tiger","wolf","sheep","lamb","cow","duck","goose","raccoon","whale","shark","starfish","bear","brown bear","opossum","spider","fly","hawk","vulture","eagle","cheetah","puma","jaguar","panther","leopard","snow leopard","mountain lion","ocelot","meerkat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
